0.88979,0.032672,11.065,11.222,11.153,11.214,11.361,11.381,11.433,11.26,11.355,11.365,12.249,11.717,11.028,7.5432,2.1203
0.87907,0.14155,10.551,10.533,10.636,10.593,10.636,10.621,10.864,10.787,11.003,11.358,11.699,11.055,11.83,12.432,1.9708
0.77688,0.076516,11.173,11.24,11.269,11.25,11.347,11.351,11.494,11.374,11.492,11.61,12.251,11.527,11.411,9.7712,2.2997
0.86632,0.20563,10.584,10.54,10.715,10.593,10.568,10.569,10.822,10.859,11.111,11.549,11.463,10.861,12.192,14.47,2.0691
0.83457,0.31032,10.993,11.039,11.301,11.034,10.894,10.971,11.064,11.381,11.632,12.086,11.121,10.808,12.683,16.927,2.7006
0.74702,0.22661,11.184,11.176,11.413,11.179,11.086,11.132,11.302,11.501,11.725,12.113,11.54,10.951,12.485,15.807,2.6057
0.80956,0.3707,11.22,11.365,11.631,11.338,11.169,11.288,11.239,11.673,11.882,12.325,11.033,10.929,12.804,17.342,3.1883
0.75799,0.46718,11.811,12.282,12.492,12.238,12.066,12.27,11.784,12.429,12.447,12.878,11.066,11.505,12.866,16.902,4.7704
0.68846,0.36799,11.844,12.117,12.368,12.062,11.888,12.05,11.812,12.344,12.448,12.815,11.301,11.303,12.853,17.089,4.0418
0.72169,0.52151,12.192,12.838,12.989,12.812,12.663,12.897,12.179,12.877,12.758,13.213,11.282,11.931,12.843,16.227,5.7588
0.65228,0.60608,13.124,14.026,14.027,14.077,14.014,14.253,13.204,13.846,13.436,13.985,12.202,12.904,12.736,14.378,7.715
0.60344,0.49523,13.013,13.782,13.859,13.779,13.672,13.916,13.021,13.694,13.401,13.84,11.995,12.56,12.808,15.194,6.9394
0.60608,0.65228,13.75,14.66,14.576,14.759,14.737,14.948,13.883,14.399,13.879,14.481,12.968,13.392,12.733,13.587,8.4856
0.52151,0.72169,15.477,16.154,15.844,16.345,16.405,16.482,15.723,15.778,15.11,15.804,15.169,14.5,12.897,12.321,9.8798
0.49523,0.60344,14.793,15.584,15.414,15.711,15.722,15.882,14.95,15.266,14.664,15.246,14.141,13.952,12.812,12.983,9.166
0.46718,0.75799,16.234,16.725,16.298,16.93,17.024,17.011,16.524,16.335,15.649,16.349,16.111,14.952,13.041,12.047,10.387
0.3707,0.80956,17.019,17.142,16.541,17.301,17.451,17.256,17.371,16.81,16.187,16.831,17.064,15.434,13.33,12.16,10.884
0.36799,0.68846,16.943,17.212,16.703,17.378,17.495,17.39,17.235,16.85,16.187,16.784,16.807,15.26,13.21,12.112,10.695
0.31032,0.83457,16.938,16.934,16.299,17.039,17.222,16.946,17.316,16.667,16.095,16.677,16.908,15.426,13.409,12.377,10.936
0.20563,0.86632,15.82,15.636,15.05,15.55,15.838,15.386,16.258,15.596,15.158,15.532,15.282,14.97,13.444,13.024,10.763
0.22661,0.74702,16.72,16.622,16.019,16.631,16.847,16.507,17.087,16.447,15.925,16.333,16.334,15.24,13.428,12.694,10.88
0.14155,0.87907,14.974,14.755,14.264,14.552,14.913,14.379,15.437,14.857,14.466,14.679,13.939,14.559,13.368,13.293,10.629
0.032672,0.88979,13.312,13.149,12.971,12.742,13.25,12.609,13.784,13.515,13.132,12.953,10.89,13.577,13.047,13.503,10.385
0.076516,0.77688,14.339,14.139,13.819,13.812,14.238,13.659,14.77,14.373,13.978,13.891,12.428,14.034,13.193,13.434,10.526
-0.032672,0.88979,12.981,12.889,12.904,12.436,12.996,12.348,13.407,13.333,12.885,12.427,9.5834,13.083,12.8,13.333,10.382
-0.14155,0.87907,13.622,13.704,14.175,13.313,13.917,13.332,13.811,14.2,13.498,12.124,7.0986,11.69,11.95,12.377,10.608
-0.076516,0.77688,13.465,13.454,13.676,13.006,13.576,12.974,13.758,13.909,13.333,12.418,8.6775,12.55,12.453,12.94,10.518
-0.20563,0.86632,14.526,14.657,15.294,14.376,14.953,14.418,14.557,15.125,14.31,12.368,6.1362,10.748,11.368,11.741,10.758
-0.31032,0.83457,16.751,16.873,17.634,16.901,17.339,16.906,16.478,17.224,16.316,13.31,4.8977,8.6472,10.119,10.54,10.945
-0.22661,0.74702,15.996,16.126,16.832,15.993,16.484,16.025,15.832,16.511,15.622,13.041,5.7127,9.7041,10.715,11.103,10.918
-0.3707,0.80956,17.719,17.791,18.509,17.978,18.316,17.931,17.33,18.08,17.216,13.776,4.4183,7.4995,9.4858,10.091,10.91
-0.46718,0.75799,19.66,19.54,19.961,20.103,20.131,19.874,19.054,19.683,19.121,14.78,3.2271,4.3814,7.8827,9.333,10.513
-0.36799,0.68846,18.79,18.78,19.366,19.106,19.304,18.988,18.287,18.987,18.229,14.366,4.2227,6.2974,8.8368,9.7911,10.803
-0.52151,0.72169,20.449,20.216,20.42,20.944,20.782,20.614,19.756,20.29,19.953,15.177,2.4836,2.5806,6.987,9.0716,10.178
-0.60608,0.65228,21.304,20.88,20.629,21.776,21.253,21.299,20.515,20.855,20.991,15.55,1.0457,-0.64938,5.4079,8.9015,9.4137
-0.49523,0.60344,21.097,20.764,20.724,21.557,21.201,21.156,20.337,20.769,20.66,15.505,2.0303,1.0187,6.1937,9.0109,9.832
-0.65228,0.60608,21.319,20.862,20.449,21.703,21.048,21.223,20.531,20.81,21.106,15.473,0.60682,-1.7145,4.8413,8.9497,9.1055
-0.72169,0.52151,20.631,20.243,19.651,20.684,19.831,20.35,19.973,20.159,20.602,14.864,0.6319,-3.1671,3.674,8.9282,8.5626
